,index,Textstelle,Metapher,Metaphernkandidat,Nein,Metapher?,Fokus,Rahmen,Annotator,orig,lang,sentence_id
2108,510,"Andere Naturforscher engen die Möglichkeit der Vererbung erworbener Eigenschaften dahin ein, daß diese Eigenschaften sich teils gar nicht, teils nur in geringem Grade auf die Nachkommen vererben, und daß es deshalb vieler Generationen und des steten neuen Erwerbs der fraglichen Eigenschaften bedürfe, um durch allmähliche Summierung des auf die Nachkommen übertragenen kleinen Teils dieser Eigenschaften den Nachkommen schon durch Vererbung die volle Summe dessen zuzuwenden, was die Vorfahren sich erst im Laufe ihres Lebens durch Gewöhnung und Anpassung hatten erwerben müssen.",0,0,1,Nein,,,X,"Andere Naturforscher engen die Möglichkeit der Vererbung erworbener Eigenschaften dahin ein, daß diese Eigenschaften sich teils gar nicht, teils nur in geringem Grade auf die Nachkommen ver- erben, und daß es deshalb vieler Generationen und des steten neuen Erwerbs der fraglichen Eigenschaften bedürfe, um durch allmähliche Summierung des auf die Nachkommen übertragenen kleinen Teils dieser Eigenschaften den Nachkommen schon durch Vererbung die volle Summe dessen zuzuwenden, was die Vorfahren sich erst im Laufe ihres Lebens durch Gewöhnung und Anpassung hatten erwerben müssen.",de,1309
2109,511,"Sie erklären, das trotz dieser Nichtvererbbarkeit der erworbenen und natürlich zweckmäßigen Eigenschaften die Nachkommen doch ihrer Umgebung gut angepaßt sein würden, weil die Nachkommen unter sich und mit ihren Eltern nicht vollkommen übereinstimmen, sondern kleine Abweichungen zeigen, die durch Zufall nach Weismann durch Ernährungsdifferenzen während des Fötallebens verursacht sind.",0,0,1,Nein,,,X,"Sie erklären, das trotz dieser Nichtvererbbarkeit der erworbenen (und natürlich zweckmäßigen) Eigenschaften die Nachkommen doch ihrer Umgebung gut angepaßt sein würden, weil die Nachkommen unter sich und mit ihren Eltern nicht voll- kommen übereinstimmen, sondern kleine Abweichungen zeigen, die durch Zufall (nach Weismann durch Ernährungsdifferenzen während des Fötallebens) verursacht sind.",de,1310
2110,512,"Durch die natürliche Auslese würden dann diejenigen Individuen, welche vorteilhafte Abweichungen aufweisen, im Gegensatz zu den anderen am Leben erhalten, und indem diese Individuen ihre schon bei der Geburt mitgebrachten Eigenschaften auf ihre Nachkommen zu vererben strebten und unter diesen dann wieder die am vorteilhaftesten organisierten durch natürliche Auslese ausgewählt würden, sei die bestmögliche Anpassung jeder Tierart an ihr Milieu gewährleistet, ohne daß eine Vererbung erworbener Eigenschaften angenommen zu werden braucht.",0,0,1,Nein,,,X,"Durch die natürliche Auslese würden dann diejenigen In- dividuen, welche vorteilhafte Abweichungen aufweisen, im Gegensatz zu den anderen am Leben erhalten, und indem diese Individuen ihre schon bei der Geburt mitgebrachten Eigenschaften auf ihre Nachkommen zu vererben strebten und unter diesen dann wieder die am vorteilhaftesten organisierten durch natürliche Auslese ausgewählt würden, sei die bestmögliche Anpassung jeder Tierart an ihr Milieu gewährleistet, ohne daß eine Vererbung erworbener Eigenschaften angenommen zu werden braucht.",de,1311
2111,513,"Denn ob die Umbildung der Organismen zu neuen Varietäten oder Arten durch Vererbung erworbener Eigenschaften oder durch zufällige Variation in Verbindung mit natürlicher Auslese erfolgt, kann ihr gleichgültig sein, solange nur die Möglichkeit der Umbildung selbst nicht bestritten wird.",0,0,1,Nein,,,X,"Denn ob die Umbildung der Organismen zu neuen Varietäten oder Arten durch Vererbung erworbener Eigenschaften oder durch zufällige Variation in Verbindung mit natürlicher Auslese erfolgt, kann ihr gleich- gültig sein, solange nur die Möglichkeit der Umbildung selbst nicht be- stritten wird.",de,1312
2112,514," Die Anpassung soll die Tatsache zum Ausdruck bringen, daß die Pflanzen und Tiere in größerem oder geringerem Grade die Fähigkeit haben, sich den Existenzbedingungen, wie sie ihre Umgebung ihnen darbietet, anzupassen, d. h. ihren Organismus in einer für ihre Existenz vorteilhaften Richtung umzugestalten.",0,0,1,Nein,,,X,"3 2) Die Anpassung soll die Tatsache zum Ausdruck bringen, daß die Pflanzen und Tiere in größerem oder geringerem Grade die Fähigkeit haben, sich den Existenzbedingungen, wie sie ihre Umgebung ihnen darbietet, anzupassen, d. h. ihren Organismus in einer für ihre Existenz vorteilhaften Richtung umzugestalten.",de,1313
2113,515,"Man kann den Begriff der Anpassung nicht richtig verstehen, wenn man ihn als einen Zustand, also als ein Angepaßtsein auffaßt denn in dieser Bedeutung heißt angepaßt sein soviel wie den Bedingungen der Existenz entsprechen, und dann ist Anpassung etwas selbstverständliches, von jedem existierenden Organismus a priori Aussagbares, weil natürlich kein Lebewesen existieren kann, wenn die Bedingungen für seine Existenz nicht gegeben sind.",0,0,1,Nein,,,X,"Man kann den Begriff der Anpassung nicht richtig verstehen, wenn man ihn als einen Zustand, also als ein Angepaßtsein auf- faßt; denn in dieser Bedeutung heißt »angepaßt sein« soviel wie den Bedingungen der Existenz entsprechen, und dann ist Anpassung etwas selbst- verständliches, von jedem existierenden Organismus a priori Aussagbares, weil natürlich kein Lebewesen existieren kann, wenn die Bedingungen für seine Existenz nicht gegeben sind.",de,1314
2114,516,"Die Anpassung muß deshalb im Sinne der obigen Definition als eine innere Tätigkeit des Organismus aufgefaßt werden, durch welche dieser imstande ist, auf Veränderungen in seinen Existenzbedingungen mit vorteilhaften Umbildungen oder Veränderungen seiner Organe zu reagieren.",0,0,1,Nein,,,X,"Die Anpassung muß deshalb im Sinne der obigen Definition als eine innere Tätigkeit des Organismus aufgefaßt werden, durch welche dieser imstande ist, auf Veränderungen in seinen Existenzbedingungen mit vorteilhaften Umbildungen oder Veränderungen seiner Organe zu reagieren.",de,1315
2115,517,"So wird bei einem Menschen, dem eine Niere exstirpiert ist, die andere Niere doppelt so groß wie vorher und übernimmt nun die Funktionen, die früher beide Nieren ausübten.",0,0,1,Nein,,,X,"So wird bei einem Menschen, dem eine Niere exstirpiert ist, die andere Niere doppelt so groß wie vorher und übernimmt nun die Funktionen, die früher beide Nieren ausübten.",de,1316
2116,518,"Wurden einem neugeborenen Tiere beide Augen fortgenommen sowie beide Ohren verschlossen, so entwickelte sich der Geruchsinn in sehr hohem Grade, indem sich die Riechkolben bulbi olfactorii über das gewöhnliche Maß nachweisbar vergrößerten .",0,0,1,Nein,,,X,"Wurden einem neu- geborenen Tiere beide Augen fortgenommen sowie beide Ohren verschlossen, so entwickelte sich der Geruchsinn in sehr hohem Grade, indem sich die Riechkolben (bulbi olfactorii) über das gewöhnliche Maß nachweisbar ver- größerten 2).",de,1317
2117,519,"In ähnlicher Weise erhielten die Ohrmuscheln eines Kaninchens, dem beide Augen bald nach der Geburt fortgenommen worden waren, eine starke Entwickelung und das Gehör verfeinerte sich über die Norm.",0,0,1,Nein,,,X,"In ähnlicher Weise erhielten die Ohrmuscheln eines Kaninchens, dem beide Augen bald nach der Geburt fortgenommen worden waren, eine starke Entwickelung und das Gehör verfeinerte sich über die Norm3).",de,1318
2118,520,"Viele Tiere nehmen Färbungen an, welche der Farbe ihrer Umgebung entsprechen und sie so den Blicken ihrer Verfolger verbergen.",0,0,1,Nein,,,X,"Viele Tiere nehmen Färbungen an, welche der Farbe ihrer Umgebung entsprechen und sie so den Blicken ihrer Verfolger verbergen.",de,1319
2119,521,"Goldfische bleiben klein, wenn sie in engen Behältern gehalten werden, erreichen dagegen in großen Teichen eine erhebliche Länge.",0,0,1,Nein,,,X,"Goldfische bleiben klein, wenn sie in engen Behältern gehalten werden, erreichen dagegen in großen Teichen eine erhebliche Länge.",de,1320
2120,522,"Es bleibt für uns dunkel, wieso ein Tier in dieser Weise durch seinen Willen, seinen Lebenstrieb zweckmäßige Veränderungen seines Organismus aktiv hervorbringen kann.",0,0,1,Nein,,,X,"Es bleibt für uns dunkel, wieso ein Tier in dieser Weise durch seinen Willen, seinen Lebens- trieb zweckmäßige Veränderungen seines Organismus aktiv hervorbringen kann.",de,1321
2121,523,als Erklärungsprinzip eingeführte funktionelle Anpassung ist mehr eine Beschreibung als eine Erklärung.,0,0,1,Nein,,,X,1881) als Erklärungsprinzip eingeführte »funktionelle Anpassung« ist mehr eine Be- schreibung als eine Erklärung.,de,1322
2122,524,"Roux versteht unter der funktionellen Anpassung die Erscheinung, daß die spezifische Beanspruchung eines lebenden Gebildes dessen spezifische Leistungsfähigkeit steigert.",0,0,1,Nein,,,X,"Roux versteht unter der funktionellen An- passung die Erscheinung, daß die spezifische Beanspruchung eines lebenden Gebildes dessen spezifische Leistungsfähigkeit steigert.",de,1323
2123,525,"Was nicht durch die Funktion erhalten und gefördert wird, verfällt dem Schwund, der Atrophie  Gudden, Archiv für Psychiatrie, Bd.",0,0,1,Nein,,,X,"Was nicht durch die Funktion erhalten und gefördert wird, verfällt dem Schwund, der Atrophie 2) Gudden, Archiv für Psychiatrie, Bd.",de,1324
2124,526,"im Kampf der Teile im Organismus Roux’s Prinzip, das an Lamarck’s Gedankenkreis anknüpft und sich als ein Analogon zum Darwin’schen Daseinskampf der Individuen unter einander darstellt, als eine Intraselektion Weismann, hat für manche Erscheinungen ein brauchbares Schema zu ihrer Einordnung und Rubrizierung, aber keine kausale Erklärung geliefert.",0,0,1,Nein,,,X,"im »Kampf der Teile« im Organismus Roux’s Prinzip, das an Lamarck’s Gedankenkreis anknüpft und sich als ein Analogon zum Darwin’schen Daseinskampf der Individuen unter einander darstellt, als eine »Intraselektion« (Weismann), hat für manche Erscheinungen ein brauchbares Schema zu ihrer Einordnung und Rubrizierung, aber keine kausale Erklärung geliefert.",de,1325
2125,527,"Das Fehlen einer ausreichenden Erklärung der Anpassungserscheinungen hat manche Naturforscher veranlaßt, die aktive Anpassungsfähigkeit zu leugnen und nur eine sogen.",0,0,1,Nein,,,X,"Das Fehlen einer ausreichenden Erklärung der Anpassungserscheinun- gen hat manche Naturforscher veranlaßt, die aktive Anpassungsfähigkeit zu leugnen und nur eine sogen.",de,1326
2126,528,"passive Anpassung, d. h. Anpassung durch natürliche Auslese der zufällig von Geburt an mit zweckmäßigen Variationen ausgestatteten Individuen anzunehmen.",0,0,1,Nein,,,X,"passive Anpassung, d. h. Anpassung durch natürliche Auslese der zufällig von Geburt an mit zweckmäßigen Variationen ausgestatteten Individuen anzunehmen.",de,1327
2127,529,"Die Tatsache der inviduellen aktiven Anpassung steht, wie die oben angeführten Beispiele beweisen, außer Zweifel, und nur die Vererbbarkeit der durch individuelle Anpassung erworbenen Eigenschaften kann in Zweifel gezogen werden.",0,0,1,Nein,,,X,"Die Tatsache der inviduellen aktiven Anpassung steht, wie die oben angeführten Beispiele beweisen, außer Zweifel, und nur die Vererbbarkeit der durch individuelle Anpassung erworbenen Eigenschaften kann in Zweifel gezogen werden.",de,1328
2128,530,"Es besagt etwa folgendes Obwohl prinzipiell die Eigenschaften der Eltern auf ihre Nachkommen übergehen, so ist die Übereinstimmung zwischen Eltern und Kindern doch keine vollkommene, sondern die Kinder sind von den Eltern und ebenso unter sich durch kleine, oft fast unmerklich kleine Abweichungen verschieden.",0,0,1,Nein,,,X,"Es besagt etwa folgendes: Obwohl prinzipiell die Eigenschaften der Eltern auf ihre Nachkommen übergehen, so ist die Übereinstimmung zwischen Eltern und Kindern doch keine vollkommene, sondern die Kinder sind von den Eltern und ebenso unter sich durch kleine, oft fast unmerklich kleine Abweichungen verschieden.",de,1329
2129,531,"Diese Verschiedenheit die auf der Struktur der verschmelzenden Samenzellen und vielleicht auf noch unerforschten Einflüssen während der embryonalen Entwickelung beruht, hat zur Folge, daß die Individuen inbezug auf das Suchen nach Nahrung und auf Schutz vor nachstellenden Feinden besser oder schlechter ausgerüstet sind.",0,0,1,Nein,,,X,"Diese Verschiedenheit die auf der Struktur der verschmelzenden Samenzellen und vielleicht auf noch unerforschten Einflüssen während der embryonalen Entwickelung beruht, hat zur Folge, daß die Individuen inbezug auf das Suchen nach Nahrung und auf Schutz vor nachstellenden Feinden besser oder schlechter ausgerüstet sind.",de,1330
2130,532,"Diejenigen Individuen nun, die durch ihre angeborene Organisation den bestehenden Verhältnissen in ihrer Umgebung am besten angepaßt sind, werden sich auch unter schwierigeren Ernährungsverhältnissen und die Erlangung hinreichender Nahrung ist für alle Tierarten mit Schwierigkeiten verbunden am Leben erhalten können, während die schlechter augepaßten zu Grunde gehen.",0,0,1,Nein,,,X,"Diejenigen Individuen nun, die durch ihre angeborene Organisation den bestehenden Verhältnissen in ihrer Umgebung am besten angepaßt sind, werden sich auch unter schwierigeren Ernährungsverhältnissen — und die Erlangung hinreichender Nahrung ist für alle Tierarten mit Schwierigkeiten verbunden — am Leben erhalten können, während die schlechter augepaßten zu Grunde gehen.",de,1331
2131,533,"Die natürliche Auslese sorgt also dafür, daß die Tiere und ebenso die Pflanzen, bei denen statt der Nahrung der Nährboden beschränkt ist immer einen relativ hohen Grad von Tüchtigkeit besitzen und mit der umgebenden Außenwelt in einer möglichst großen Übereinstimmung stehen.",0,0,1,Nein,,,X,"Die natürliche Auslese sorgt also dafür, daß die Tiere (und ebenso die Pflanzen, bei denen statt der Nahrung der Nährboden beschränkt ist) immer einen relativ hohen Grad von Tüchtigkeit besitzen und mit der umgebenden Außenwelt in einer möglichst großen Übereinstimmung stehen.",de,1332
2132,534,"In England ist die früher dort heimische schwarze Ratte fast gänzlich verschwunden, seitdem die graue Ratte aus Hannover mit den Schiffen Wilhelms des Eroberers über den Kanal gekommen war und der schwarzen Ratte das Feld streitig machte.",0,0,1,Nein,,,X,"In England ist die früher dort heimische schwarze Ratte fast gänzlich verschwunden, seitdem die graue Ratte aus Hannover mit den Schiffen Wilhelms des Eroberers über den Kanal gekommen war und der schwarzen Ratte das Feld streitig machte.",de,1333
2133,535,In Californien ist ebenso die früher dort heimische weiße Ratte von der zu Schiffe eingeführten schwarzen Ratte völlig vertilgt worden.,0,0,1,Nein,,,X,5 In Californien ist ebenso die früher dort heimische weiße Ratte von der zu Schiffe eingeführten schwarzen Ratte völlig vertilgt worden.,de,1334
2134,536,"In den Vereinigten Staaten vertrieb eine Schwalbenart gänzlich eine andere, und die Vermehrung der sogen.",0,0,1,Nein,,,X,"In den Ver- einigten Staaten vertrieb eine Schwalbenart gänzlich eine andere, und die Vermehrung der sogen.",de,1335
2135,537,"In Dänemark und auf der jütischen Halb insel ist die Kiefer, welche in vorhistorischer Zeit dort ausgedehnte Wälder bildete, zuerst von der Eiche und diese wiederum von der Buche fast vollständig verdrängt worden .",0,0,1,Nein,,,X,"In Dänemark und auf der jütischen Halb insel ist die Kiefer, welche in vorhistorischer Zeit dort ausgedehnte Wälder bildete, zuerst von der Eiche und diese wiederum von der Buche fast voll- ständig verdrängt worden 4).",de,1336
2136,538,"Daß in der vom Menschen geübten Züchtung der Pflanzen und Haustiere das eben erörterte Prinzip zur Heranzüchtung neuer Eigenschaften oder Varietäten befolgt wird, ist allbekannt.",0,0,1,Nein,,,X,"Daß in der vom Menschen geübten Züchtung der Pflanzen und Haustiere das eben erörterte Prinzip zur Heranzüchtung neuer Eigenschaften oder Varietäten befolgt wird, ist allbekannt.",de,1337
2137,539,"Alle unsere Schaf, Rind, Hühnerund Taubenrassen sind in ihrer heutigen Gestalt das Resultat einer künstlichen Züchtung, welche allein die passend erscheinenden Individuen zur Fortpflanzung gelangen läßt.",0,0,1,Nein,,,X,"Alle unsere Schaf-, Rind-, Hühner- und Taubenrassen sind in ihrer heutigen Gestalt das Resultat einer künstlichen Züchtung, welche allein die passend erscheinenden Individuen zur Fortpflanzung gelangen läßt.",de,1338
2138,540,"Form, Größe und Gewicht, Bau der Blattkrone, aber vor allem der an holzigen Bestandteilen arme anatomische Bau haben wichtige Veränderungen erfahren und die Rübe für die Zwecke der Fabrik immer tauglicher gemacht.",0,0,1,Nein,,,X,"»Form, Größe und Gewicht, Bau der Blattkrone, aber vor allem der an holzigen Bestandteilen arme anatomische Bau haben wichtige Veränderungen erfahren und die Rübe für die Zwecke der Fabrik immer tauglicher gemacht5)«.",de,1339
2139,541,Als ein neues und bis dahin nicht beachtetes Prinzip ist von Darwin die geschlechtliche Zuchtwahl als ein Faktor für die Umbildung der Organismen aufgestellt worden.,0,0,1,Nein,,,X,Als ein neues und bis dahin nicht beachtetes Prinzip ist von Darwin die geschlechtliche Zuchtwahl als ein Faktor für die Umbildung der Organismen aufgestellt worden.,de,1340
2140,542,"Dieses Prinzip gilt allerdings nicht für alle Lebewesen, sondern nur für höher organisierte Tiere und besteht darin, daß die Weibchen bei der Begattung solche Männchen bevorzugen, welche besonders schön sind oder gewisse besondere Merkmale aufweisen.",0,0,1,Nein,,,X,"Dieses Prinzip gilt allerdings nicht für alle Lebewesen, sondern nur für höher organisierte Tiere und besteht darin, daß die Weibchen bei der Begattung solche Männchen bevorzugen, welche besonders schön sind oder gewisse besondere Merkmale aufweisen.",de,1341
2141,543,"Infolgedessen haben die so ausgestatteten Männchen die größte Nachkommenschaft, und indem sie ihre Eigenschaften vererben, kann dadurch eine Veränderung der Artcharaktere eintreten, sodaß also hier gewissermaßen der Geschmack man könnte, wenn die Analogie gestattet ist, vielleicht sagen der ästhetische Sinn der Weibchen die Ursache einer Artveränderung wird.",0,0,1,Nein,,,X,"Infolgedessen haben die so ausgestatteten Männchen die größte Nachkommen- schaft, und indem sie ihre Eigenschaften vererben, kann dadurch eine Ver- änderung der Artcharaktere eintreten, sodaß also hier gewissermaßen der Geschmack (man könnte, wenn die Analogie gestattet ist, vielleicht sagen: der ästhetische Sinn) der Weibchen die Ursache einer Artveränderung wird.",de,1342
2142,544,"Die geschlechtliche Zuchtwahl ist besonders wertvoll als Erklärungsprinzip für solche Erscheinungen, welche, wie z.",0,0,1,Nein,,,X,"Die geschlechtliche Zuchtwahl ist besonders wertvoll als Erklärungs- prinzip für solche Erscheinungen, welche, wie z.",de,1343
2143,545,"B. der Farbenschmuck mancher Tiere, nicht als unentbehrlich oder auch nur nützlich für die Existenz derselben angesehen werden und daher nicht durch natürliche Auslese erklärt werden kann.",0,0,1,Nein,,,X,"B. der Farbenschmuck mancher Tiere, nicht als unentbehrlich oder auch nur nützlich für die Existenz derselben angesehen werden und daher nicht durch natürliche Auslese erklärt werden kann.",de,1344
2144,546,Beispiele für die geschlechtliche Zuchtwahl sind von Darwin in großer Zahl gesammelt worden und ergeben sich besonders bei einem Blick  Büchner a. a. Q. S. ,0,0,1,Nein,,,X,Beispiele für die geschlechtliche Zuchtwahl sind von Darwin in großer Zahl gesammelt worden und ergeben sich besonders bei einem Blick 4) Büchner a. a. Q. S. 40.,de,1345
2145,547,Freilich lassen sich nicht alle Erscheinungen bei der Gattenwahl auf geschlechtliche Zuchtwahl zurückführen.,0,0,1,Nein,,,X,Freilich lassen sich nicht alle Erscheinungen bei der Gattenwahl auf geschlechtliche Zuchtwahl zurückführen.,de,1346
2146,548,"In vielen Fällen man denke an die Brunst der Hirsche wird nicht das dem Weibchen am besten gefallende, sondern einfach das stärkste Männchen der Gatte, und in diesen Fällen fällt die Gattenwahl nicht unter die Erscheinung der geschlechtlichen Zuchtwahl sondern der natürlichen Auslese.",0,0,1,Nein,,,X,"In vielen Fällen (man denke an die Brunst der Hirsche) wird nicht das dem Weibchen am besten gefallende, sondern einfach das stärkste Männchen der Gatte, und in diesen Fällen fällt die Gattenwahl nicht unter die Erscheinung der geschlechtlichen Zuchtwahl sondern der natürlichen Auslese.",de,1347
2147,549,"Erst wenn eine Art individueller Geschlechtsliebe, eine Bevorzugung der Schönheit zu beobachten ist, wird es erforderlich sein, neben die natürliche Auslese die geschlechtliche Zuchtwahl zu setzen.",0,0,1,Nein,,,X,"Erst wenn eine Art individueller Geschlechtsliebe, eine Bevorzugung der Schönheit zu beobachten ist, wird es erforderlich sein, neben die natürliche Auslese die geschlechtliche Zuchtwahl zu setzen.",de,1348
2148,550,"B. Wallace  macht, die geschlechtliche Zuchtwahl ganz durch die natürliche Auslese zu ersetzen, indem er die größere Schönheit eines Männchens stets nur als Ausfluß seiner größeren Kraft und Lebensenergie ansieht, ist nicht zu acceptieren, weil Schönheit und Kraft nicht in allen Fällen parallel gehen.",0,0,1,Nein,,,X,"B. Wallace 6) macht, die geschlechtliche Zuchtwahl ganz durch die natürliche Auslese zu ersetzen, indem er die größere Schönheit eines Männchens stets nur als Ausfluß seiner größeren Kraft und Lebens- energie ansieht, ist nicht zu acceptieren, weil Schönheit und Kraft nicht in allen Fällen parallel gehen.",de,1349
2149,551,"Neben diesen  Prinzipien spielt in der Descendenztheorie noch das biogenetische Grundgesetz der Name stammt von Haeckel eine Rolle, welches besagt, daß jedes Individuum im Laufe seiner embryonalen Entwickelung in abgekürzter und oft abgeblaßter und undeutlicher Weise die Formen wiederholt, welche seine Urahnen durchlaufen haben, ehe sie sich zu ihrer heutigen Gestalt entwickelten.",0,0,1,Nein,,,X,"Neben diesen 4 Prinzipien spielt in der Descendenztheorie noch das biogenetische Grundgesetz (der Name stammt von Haeckel eine Rolle, welches besagt, daß jedes Individuum im Laufe seiner embryonalen Ent- wickelung in abgekürzter und oft abgeblaßter und undeutlicher Weise die Formen wiederholt, welche seine Urahnen durchlaufen haben, ehe sie sich zu ihrer heutigen Gestalt entwickelten.",de,1350
2150,552,"Das Studium der embryonalen Entwickelung und der embryonalen Formen irgend einer Tierart ermöglicht uns also Rückschlüsse auf die Stufen Typen, welche diese Tierspezies im Laufe vergangener Jahrtausende und Jahrhunderttausende durchlaufen hat, bevor sie diejenigen Artcharaktere erreichte, welche sie heute aufweist.",0,0,1,Nein,,,X,"Das Studium der embryonalen Ent- wickelung und der embryonalen Formen irgend einer Tierart ermöglicht uns also Rückschlüsse auf die Stufen (Typen), welche diese Tierspezies im Laufe vergangener Jahrtausende und Jahrhunderttausende durchlaufen hat, bevor sie diejenigen Artcharaktere erreichte, welche sie heute aufweist.",de,1351
2151,553,"Das biogegenetische Grundgesetz ist sonach für die Descendenzlehre ein wichtiges Hilfsmittel geworden, um Hypothesen über die Reihenfolge der sich auseinander entwickelnden Tierarten, d. h. über den tierischen Stammbaum aufzustellen.",0,0,1,Nein,,,X,"Das bioge- genetische Grundgesetz ist sonach für die Descendenzlehre ein wichtiges Hilfs- mittel geworden, um Hypothesen über die Reihenfolge der sich auseinander entwickelnden Tierarten, d. h. über den tierischen Stammbaum aufzustellen.",de,1352
2152,554,"Dagegen ist im biogenetischen Grundgesetze nicht wie in den oben angeführten  Prinzipien ein wirkender Faktor der Artenbildnng gegeben, und unter die Prinzipien der Descendenztheorie gehört es deshalb nicht.",0,0,1,Nein,,,X,"Dagegen ist im biogenetischen Grundgesetze nicht wie in den oben angeführten 4 Prinzipien ein wirkender Faktor der Artenbildnng gegeben, und unter die Prinzipien der Descendenztheorie gehört es deshalb nicht.",de,1353
2153,555,"Dietzel, Beiträge zur Methodik der Wirtschaftswissenschaften Jahrbücher für Nationalökonomie und Statistik N F, Bd.",0,0,1,Nein,,,X,"Dietzel, Beiträge zur Methodik der Wirtschaftswissenschaften (Jahrbücher für National- ökonomie und Statistik N F, Bd.",de,1354
2154,556,"G. Schmoller, Die Schriften von C. Menger und W. Dilthey zur Methodologie der Staatsund Sozialwissenschaft.",0,0,1,Nein,,,X,"G. Schmoller, Die Schriften von C. Menger und W. Dilthey zur Methodologie der Staats- und Sozialwissenschaft.",de,1355
2155,557,"V. John, Zur Methode der heutigen Sozialwissenschaft Zeitschrift für Volkswirtschaft, Sozialpolitik und Verwaltung I, ",0,0,1,Nein,,,X,"V. John, Zur Methode der heutigen Sozialwissenschaft (Zeitschrift für Volkswirtschaft, Sozialpolitik und Verwaltung I, 2.",de,1356
2156,558,"Jahrhundert sind der Anlaß gewesen, daß eine Reihe von Schriftstellern versucht hat, die naturwissenschaftliche Forschungsmethode auch auf das menschliche Gesellschaftsleben anzuwenden.",0,0,1,Nein,,,X,"Jahr- hundert sind der Anlaß gewesen, daß eine Reihe von Schriftstellern versucht hat, die naturwissenschaftliche Forschungsmethode auch auf das menschliche Gesellschaftsleben anzuwenden.",de,1357
2157,559,"Comte, Spencer und Schäffle haben es nacheinander unternommen, die Gesellschaft, den von Schäffle sogenannten sozialen Körper nach Art eines tierischen Organismus anatomisch zu zergliedern und auf diese Weise in ihre Organisation und ihr Leben hineinzusehen.",0,0,1,Nein,,,X,"Comte, Spencer und Schäffle haben es nacheinander unternommen, die Gesellschaft, den von Schäffle sogenannten »sozialen Körper« nach Art eines tierischen Organismus anatomisch zu zer- gliedern und auf diese Weise in ihre Organisation und ihr Leben hinein- zusehen.",de,1358
2158,560,"Wir sehen hier davon ab, daß der hierbei übliche Vergleich des einzelnen Menschen in der Gesellschaft mit der Zelle im Organismus nicht zutreffend erscheint, weil das Individuum ein Sonderbewußtsein hat, das der Zelle fehlt.",0,0,1,Nein,,,X,"Wir sehen hier davon ab, daß der hierbei übliche Vergleich des einzelnen Menschen in der Gesellschaft mit der Zelle im Organismus nicht zutreffend erscheint, weil das Individuum ein Sonderbewußtsein hat, das der Zelle fehlt.",de,1359
2159,561,"Der Hauptgrund, aus dem jene Versuche verfehlt erscheinen, ist der, daß sie methodisch falsch sind, weil die naturwissenschaftliche Betrachtungsweise in der Sozialwissenschaft nicht anwendbar ist.",0,0,1,Nein,,,X,"Der Hauptgrund, aus dem jene Versuche verfehlt erscheinen, ist der, daß sie methodisch falsch sind, weil die naturwissenschaftliche Be- trachtungsweise in der Sozialwissenschaft nicht anwendbar ist.",de,1360
2160,562,"Die Naturwissenschaft hat die Aufgabe, uns über die sinnlich wahrnehmbaren Erscheinungen im Kosmos zu orientieren, uns zu zeigen, was ist, und in welchem ursächlichen Zusammenhang alles Seiende untereinander steht.",0,0,1,Nein,,,X,"Die Naturwissenschaft hat die Aufgabe, uns über die sinnlich wahr- nehmbaren Erscheinungen im Kosmos zu orientieren, uns zu zeigen, was ist, und in welchem ursächlichen Zusammenhang alles Seiende untereinander steht.",de,1361
2161,563,"Da auch viele Erscheinungen im der Menschen sinnlich wahrnehmbar sind, so steht an sich nichts im Wege, auch diese Erscheinungen des gesellschaftlichen Zusammenlebens zum Gegenstande naturwissenschaftlicher Betrachtung zu machen, genau so, wie wir ja auch das Zusammenleben der Bienen, Ameisen und anderer Tiere in der Naturwissenschaft abhandeln.",0,0,1,Nein,,,X,"Da auch viele Erscheinungen im gesellschaftlichen Zusammenleben der Menschen sinnlich wahrnehmbar sind, so steht an sich nichts im Wege, auch diese Erscheinungen des gesellschaftlichen Zusammenlebens zum Gegenstande naturwissenschaftlicher Betrachtung zu machen, genau so, wie wir ja auch das Zusammenleben der Bienen, Ameisen und anderer Tiere in der Naturwissen- schaft abhandeln.",de,1362
2162,564,"Würden wir aber auf diese Weise Resultate bekommen, welche unter den herkömmlichen Begriff der Sozialwissenschaft fallen?",0,0,1,Nein,,,X,"Würden wir aber auf diese Weise Resultate bekommen, welche unter den herkömmlichen Begriff der Sozialwissenschaft fallen?",de,1363
2163,565,"Die Frage läßt sich am besten entscheiden, wenn wir einmal versuchen, einige Erscheinungen des gesellschaftlichen Zusammenlebens naturwissenschaftlich zu behandeln.",0,0,1,Nein,,,X,"Die Frage läßt sich am besten entscheiden, wenn wir einmal versuchen, einige Er- scheinungen des gesellschaftlichen Zusammenlebens naturwissenschaftlich zu be- handeln.",de,1364
2164,566,"Antwort Infolg Lebensschwäche u. s. w. Weitere Frage Welches ist die Ursache von Diphteritis, Brechdurchfall, Lebensschwäche?",0,0,1,Nein,,,X,"Antwort: Infolge von Diphteritis, Brechdurchfall Lebensschwäche u. s. w. Weitere Frage: Welches ist die Ursache von Diphteritis, Brechdurchfall, Lebensschwäche?",de,1365
2165,567,"bacillus, Genuß schlecht temperierter oder sonst ungeeigneter Nahrung, schwächliche Organisation der Eltern.",0,0,1,Nein,,,X,"bacillus, Genuß schlecht temperierter oder sonst ungeeigneter Nahrung, schwäch- liche Organisation der Eltern.",de,1366
